,情報ソース,企業名,ヘッドライン,URL,スニペット,日付,詳細
27,日本経済新聞,リコー,リコー、イギリスに産業印刷の新会社 欧州の販売機能集約 - 日本 ...,https://www.nikkei.com/article/DGXZQOUC184QZ0Y4A011C2000000/,"Oct 17, 2024 ... リコーは印刷機の基幹部品「インクジェットヘッド」の欧州販売で攻勢をかける（英国の拠点）. リコーは18日、アパレル向けなどを手掛ける産業印刷事業 ...",2024-10-18 15:04:57+09:00,リコーは18日、アパレル向けなどを手掛ける産業印刷事業の新会社を英国に設立したと発表した。複数の関連会社に分散している欧州の販売やマーケティング機能を集約し、意思決定を早める。英中部のテルフォードに10月1日付で立ち上げた。25年4月から事業を始める。従業員数は百数十人規模になる見通し。リコーは洋服の生地に
28,日本経済新聞,リコー,長野信用金庫、リコージャパンと提携 顧客のDX後押し - 日本経済新聞,https://www.nikkei.com/article/DGXZQOCC151AD0V11C24A0000000/,"Oct 14, 2024 ... 長野信用金庫（長野市）は15日、リコージャパンと業務提携したと発表した。長野信金の顧客ニーズに応じてリコージャパンを紹介し、同社が取り扱う ...",2024-10-15 19:00:00+09:00,長野信用金庫（長野市）は15日、リコージャパンと業務提携したと発表した。長野信金の顧客ニーズに応じてリコージャパンを紹介し、同社が取り扱うクラウドサービスや複合機などの導入を検討してもらう。顧客のデジタルトランスフォーメーション（DX）を推進する本業支援として位置づけ、生産性の向上を後押しする。製品導入に伴う融資の提案にもつながると見込む。長野信金
29,日本経済新聞,リコー,リコーの株価が反発 「物言う株主」さらに買い増し - 日本経済新聞,https://www.nikkei.com/article/DGXZQOFL101AG0Q4A011C2000000/,"Oct 9, 2024 ... 10時20分、プライム、コード7752）リコーが反発している。前日比37円（2.28%）高の1654円を付けた。旧村上ファンド出身者が設立した投資ファンドで、 ...",2024-10-10 11:36:47+09:00,（10時20分、プライム、コード7752）リコーが反発している。前日比37円（2.28%）高の1654円を付けた。旧村上ファンド出身者が設立した投資ファンドで、アクティビスト（物言う株主）として知られるエフィッシモ・キャピタル・マネジメントがリコー株を買い増したことが9日、わかった。保有比率は19.50%と9月時点の18.14%から上昇した。今後、株主還元の強化などを求めてくるとの見方から、個
30,日本経済新聞,富士フイルム,秋の叙勲、喜びの声 富士フイルム元社長の助野健児氏 - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUC2959P0Z21C24A0000000/,2 days ago ... 1977年に京都大学法学部を卒業し、富士写真フイルム（現富士フイルムホールディングス）に入社した。会社の屋台骨だった写真フィルム市場がデジタル ...,2024-11-03 05:00:00+09:00,1977年に京都大学法学部を卒業し、富士写真フイルム（現富士フイルムホールディングス）に入社した。会社の屋台骨だった写真フィルム市場がデジタルカメラの普及で消失するなか、会社の業態転換を最前線で担った。【関連記事】2002年に米国法人の経理責任者として渡米し、現地の現像工場の統廃合計画の策定に関わった。16年に富士フイルム社長に就任した。バイオ医薬品の開発・製造受託（CDMO）の設備投資を推進
31,日本経済新聞,富士フイルム,富士フイルム、最先端半導体材料を販売 AIや5G需要想定 - 日本経済 ...,https://www.nikkei.com/article/DGXZQOUC292I90Z21C24A0000000/,6 days ago ... 富士フイルムは29日、最先端の半導体製造で使われる材料の販売を始めたと発表した。フォトレジスト（感光材料）と現像液で、シリコンウエハー上に微細な ...,2024-10-29 13:49:17+09:00,富士フイルムは29日、最先端の半導体製造で使われる材料の販売を始めたと発表した。フォトレジスト（感光材料）と現像液で、シリコンウエハー上に微細な回路を描く工程で使われる。人工知能（AI）や高速通信規格「5G」向け半導体の需要増を見込む。販売開始に合わせ、日本と韓国の既存工場設備を増強する。生産設備や品質評価のための検査装置を導入し、韓国ではクリーンルームも新たに設置する。生産能力と投資額につい
32,日本経済新聞,富士フイルム,富士フイルムBI、IT関連の売上高7000億円へ AI活用 - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUC171460X11C24A0000000/,"Oct 16, 2024 ... 富士フイルムビジネスイノベーション（BI、旧富士ゼロックス）は17日、IT（情報技術）関連の売上高で2031年3月期に7000億円以上を目指すと発表した。",2024-10-17 18:56:17+09:00,富士フイルムビジネスイノベーション（BI、旧富士ゼロックス）は17日、IT（情報技術）関連の売上高で2031年3月期に7000億円以上を目指すと発表した。生成AI（人工知能）を活用したオフィス業務の効率化などに注力する。持ち株会社の富士フイルムホールディングスが同日開いたデジタルトランスフォーメーション（DX）に関する説明会で明らかにした。複合機で納品書などの文書をスキャンし、仕分けして社内
33,日本経済新聞,富士フイルム,富士フイルム、最軽量ミラーレス「X-M5」 SNS向け縦型動画も ...,https://www.nikkei.com/article/DGXZQOUC117WH0R11C24A0000000/,"Oct 13, 2024 ... 富士フイルムは14日、同社として最軽量のミラーレスカメラを11月下旬に発売すると発表した。バッテリーとメモリーカードを含む質量は約355グラムと、 ...",2024-10-14 23:00:00+09:00,富士フイルムは14日、同社として最軽量のミラーレスカメラを11月下旬に発売すると発表した。バッテリーとメモリーカードを含む質量は約355グラムと、従来の最軽量モデルから約80グラム軽くした。SNSに投稿するための縦型動画の撮影機能も備え、手軽に撮影を楽しみたい層を開拓する。製品名は「FUJIFILM X-M5」。同社のミラーレスカメラブランド「Xシリーズ」では最軽量のモデルとなる。26
34,日本経済新聞,富士フイルム,香港、逆風下でも「先駆けの役割」 富士フイルム系など アジア ...,https://www.nikkei.com/article/DGXZQOGM077XY0X01C24A0000000/,"Oct 8, 2024 ... ... 富士フイルムビジネスイノベーション（BI、旧富士ゼロックス）の浜直樹・最高経営責任者（CEO）はこう話す。オフィスでの業務効率を高めるサービ.",2024-10-09 14:00:00+09:00,香港の日系企業が、逆風下で商機を模索している。中国の成長鈍化や社会統制の強化で先行きに懸念が尽きないが、競争力を磨く場として新たな役割を見いだす動きも出ている。「香港は先駆けの役割を担う。最先端のサービスを育て、日本を含めたアジアに展開する」。複合機大手、富士フイルムビジネスイノベーション（BI、旧富士ゼロックス）の浜直樹・最高経営責任者（CEO）はこう話す。オフィスでの業務効率を高めるサービ
35,日本経済新聞,富士フイルム,富士フイルムBI、オセアニアで米社のシステム事業買収 - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUC016Y40R01C24A0000000/,"Sep 30, 2024 ... 富士フイルムビジネスイノベーション（旧富士ゼロックス、BI）は1日、米ITサービス大手のDXCテクノロジーからオセアニア地域の中小企業向け基幹システム ...",2024-10-01 18:02:50+09:00,富士フイルムビジネスイノベーション（旧富士ゼロックス、BI）は1日、米ITサービス大手のDXCテクノロジーからオセアニア地域の中小企業向け基幹システム事業を買収したと発表した。買収額は非開示。顧客基盤を取り込み、IT支援事業をさらに成長させる。オセアニア地域で基幹システムの販売や導入支援を手がける関係会社を通じて買収した。DXC社がオーストラリ
36,日本経済新聞,富士フイルム,富士フイルム、株価大幅反落 「半導体材料の新工場」も - 日本経済 ...,https://www.nikkei.com/article/DGXZQOFL300L10Q4A930C2000000/,"Sep 29, 2024 ... 9時45分、プライム、コード4901）富士フイルムが大幅に反落している。前週末比216円（5.60%）安の3640円を付けた。30日付の日本経済新聞朝刊が「富士 ...",2024-09-30 10:31:52+09:00,（9時45分、プライム、コード4901）富士フイルムが大幅に反落している。前週末比216円（5.60%）安の3640円を付けた。30日付の日本経済新聞朝刊が「富士フイルムは次世代の半導体材料の開発・生産拠点を国内に設ける」と報じた。ただ、日経平均株価の下げ幅が一時1800円を超えるなか、収益貢献に期待した買いよりも相場全体の下落に押された売りが優勢となっている。約130億円を投じて静岡県の拠
37,日本経済新聞,富士フイルム,富士フイルム、先端半導体素材を国内生産 「1ナノ」向け新工場棟 ...,https://www.nikkei.com/article/DGKKZO83771780Q4A930C2MM8000/,"Sep 29, 2024 ... 富士フイルムは次世代の半導体材料（総合・経済面きょうのことば）の開発・生産拠点を国内に設ける。静岡県の拠点に約130億円を投じて新棟を建設し、回 ...",2024-09-30 02:00:00+09:00,富士フイルムは次世代の半導体材料（総合・経済面きょうのことば）の開発・生産拠点を国内に設ける。静岡県の拠点に約130億円を投じて新棟を建設し、回路線幅が1ナノ（ナノは10億分の1）メートル台の半導体向け材料を供給する。半導体が経済安全保障の重要物資となるなか、日本でも素材を含めたサプライチェーン（供給網）の再構築の動きが本格化してきた。静岡工場（静岡県吉田町）で2025年秋に新棟を稼働し、半
